SMILES,CID,creator,fragments,covalent_warhead,CID (canonical)
CS(=O)(=O)c1ccc2c(NC(=O)C34CC(C3)Oc3ccc(Cl)cc34)cncc2c1,EDJ-MED-c3ea9889-5,"Ed J Griffen, MedChemica Ltd",,False,EDJ-MED-c3ea9889-5
O=C(Nc1cncc2cc(F)ccc12)C12CC(C1)Oc1ccc(Cl)cc12,EDJ-MED-c3ea9889-6,"Ed J Griffen, MedChemica Ltd",,False,EDJ-MED-c3ea9889-6
O=C(Nc1cncc2cc(Cl)ccc12)C12CC(C1)Oc1ccc(Cl)cc12,EDJ-MED-c3ea9889-7,"Ed J Griffen, MedChemica Ltd",,False,EDJ-MED-c3ea9889-7
O=C(Nc1cncc2cccc(Cl)c12)C12CC(C1)Oc1ccc(Cl)cc12,EDJ-MED-c3ea9889-8,"Ed J Griffen, MedChemica Ltd",,False,EDJ-MED-c3ea9889-8
CNC(=O)CN1CC(C)(C(=O)Nc2cncc3cc(F)ccc23)c2cc(Cl)ccc2S1(=O)=O,EDJ-MED-3bfd841e-1,"Ed J Griffen, MedChemicaLtd",,False,EDJ-MED-3bfd841e-1
Clc1ccc2c(c1)C1(CCO2)CCN(c2cncc3cccc(Cl)c23)C1,EDJ-MED-e78d5f1a-1,"Ed J Griffen, MedChemica  Ltd",,False,EDJ-MED-e78d5f1a-1
CC(C)NC(=O)CN1CC(C(=O)Nc2cncc3cc(F)ccc23)c2cc(Cl)ccc2C1=O,EDJ-MED-e69ed63d-1,"Ed J Griffen, MedChemica Ltd",,False,EDJ-MED-e69ed63d-1
CC(C)NC(=O)CN1CC(C(=O)Nc2cncc3cc(S(C)(=O)=O)ccc23)c2cc(Cl)ccc2C1=O,EDJ-MED-e69ed63d-2,"Ed J Griffen, MedChemica Ltd",,False,EDJ-MED-e69ed63d-2
O=C(CN1CC(C(=O)Nc2cncc3cc(F)ccc23)c2cc(Cl)ccc2C1=O)NC1CC1,EDJ-MED-e69ed63d-3,"Ed J Griffen, MedChemica Ltd",,False,EDJ-MED-e69ed63d-3
CS(=O)(=O)c1ccc2c(NC(=O)C3CN(CC(=O)NC4CC4)C(=O)c4ccc(Cl)cc43)cncc2c1,EDJ-MED-e69ed63d-4,"Ed J Griffen, MedChemica Ltd",,False,EDJ-MED-e69ed63d-4
CS(=O)(=O)c1ccc2c(NC(=O)C3CN(CC(=O)NC4COC4)C(=O)c4ccc(Cl)cc43)cncc2c1,EDJ-MED-e69ed63d-5,"Ed J Griffen, MedChemica Ltd",,False,EDJ-MED-d165ed91-3
O=C(CN1CC(C(=O)Nc2cncc3cc(F)ccc23)c2cc(Cl)ccc2C1=O)NC1COC1,EDJ-MED-e69ed63d-6,"Ed J Griffen, MedChemica Ltd",,False,EDJ-MED-e69ed63d-6
CCNC(=O)CN1CC(C(=O)Nc2cncc3cc(F)ccc23)c2cc(Cl)ccc2C1=O,EDJ-MED-e69ed63d-7,"Ed J Griffen, MedChemica Ltd",,False,EDJ-MED-e69ed63d-7
CCNC(=O)CN1CC(C(=O)Nc2cncc3cc(S(C)(=O)=O)ccc23)c2cc(Cl)ccc2C1=O,EDJ-MED-e69ed63d-8,"Ed J Griffen, MedChemica Ltd",,False,EDJ-MED-e69ed63d-8
O=C(CN1CC(C(=O)Nc2cncc3cc(F)ccc23)c2cc(Cl)ccc2C1=O)NC1CCC1,EDJ-MED-e69ed63d-9,"Ed J Griffen, MedChemica Ltd",,False,EDJ-MED-e69ed63d-9
CS(=O)(=O)c1ccc2c(NC(=O)C3CN(CC(=O)NC4CCC4)C(=O)c4ccc(Cl)cc43)cncc2c1,EDJ-MED-e69ed63d-10,"Ed J Griffen, MedChemica Ltd",,False,EDJ-MED-e69ed63d-10
CC(C)(C)NC(=O)CN1CC(C(=O)Nc2cncc3cc(F)ccc23)c2cc(Cl)ccc2C1=O,EDJ-MED-e69ed63d-11,"Ed J Griffen, MedChemica Ltd",,False,EDJ-MED-e69ed63d-11
CC(C)(C)NC(=O)CN1CC(C(=O)Nc2cncc3cc(S(C)(=O)=O)ccc23)c2cc(Cl)ccc2C1=O,EDJ-MED-e69ed63d-12,"Ed J Griffen, MedChemica Ltd",,False,EDJ-MED-d165ed91-4
CCCNC(=O)CN1CC(C(=O)Nc2cncc3cc(F)ccc23)c2cc(Cl)ccc2C1=O,EDJ-MED-e69ed63d-13,"Ed J Griffen, MedChemica Ltd",,False,EDJ-MED-e69ed63d-13
CCCNC(=O)CN1CC(C(=O)Nc2cncc3cc(S(C)(=O)=O)ccc23)c2cc(Cl)ccc2C1=O,EDJ-MED-e69ed63d-14,"Ed J Griffen, MedChemica Ltd",,False,EDJ-MED-e69ed63d-14
O=C(CN1CC(C(=O)Nc2cncc3cc(F)ccc23)c2cc(Cl)ccc2C1=O)NCC1CC1,EDJ-MED-e69ed63d-15,"Ed J Griffen, MedChemica Ltd",,False,EDJ-MED-e69ed63d-15
CS(=O)(=O)c1ccc2c(NC(=O)C3CN(CC(=O)NCC4CC4)C(=O)c4ccc(Cl)cc43)cncc2c1,EDJ-MED-e69ed63d-16,"Ed J Griffen, MedChemica Ltd",,False,EDJ-MED-e69ed63d-16
O=C(CN1CC(C(=O)Nc2cncc3cc(F)ccc23)c2cc(Cl)ccc2C1=O)NCC(F)(F)F,EDJ-MED-e69ed63d-17,"Ed J Griffen, MedChemica Ltd",,False,EDJ-MED-e69ed63d-17
CS(=O)(=O)c1ccc2c(NC(=O)C3CN(CC(=O)NCC(F)(F)F)C(=O)c4ccc(Cl)cc43)cncc2c1,EDJ-MED-e69ed63d-18,"Ed J Griffen, MedChemica Ltd",,False,EDJ-MED-e69ed63d-18
O=C(Cc1cccc(Cl)c1)Nc1cncc2cc(F)cc(Cl)c12,EDJ-MED-c5ca5386-1,"Ed J Griffen, MedChemica  Ltd",,False,EDJ-MED-c5ca5386-1
CS(=O)(=O)c1cc(Cl)c2c(NC(=O)Cc3cccc(Cl)c3)cncc2c1,EDJ-MED-c5ca5386-2,"Ed J Griffen, MedChemica  Ltd",,False,EDJ-MED-c5ca5386-2
COC1(CS(=O)(=O)N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)CC1,EDJ-MED-968bafd9-1,"Ed J Griffen, MedChemica  Ltd",,False,EDJ-MED-968bafd9-1
COC1(CS(=O)(=O)N2CC(C(=O)Nc3cncc4cc(S(C)(=O)=O)ccc34)c3cc(Cl)ccc3C2=O)CC1,EDJ-MED-968bafd9-2,"Ed J Griffen, MedChemica  Ltd",,False,EDJ-MED-968bafd9-2
COC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C)(C(=O)Nc3cncc4ccccc34)C2)CC1,EDJ-MED-82bd779b-1,"Ed J Griffen, MedChemica  Ltd",,False,EDJ-MED-82bd779b-1
COC1(C(=O)Nc2cncc3cc(S(=O)(=O)N(C)C)ccc23)CCOc2ccc(Cl)cc21,EDJ-MED-1b46f08e-1,"Ed J Griffen, MedChemica Consultancy Ltd",,False,EDJ-MED-1b46f08e-1
